Age_Group_Label,Followers_Group,Frequency_Group,Avg_Comparison_with_Influencers,Avg_Likelihood_buy_product_Infleucer_recommendation,Avg_Envy,Avg_AdvertisementScept,Avg_LifeSatisfactio,Avg_MaternalismSuccess,Avg_MaternalismCentrality,Avg_MaternalismHapiness,Avg_SocialComparison
18-24,1-100,Daily,3.0,3.0,10.0,23.0,19.0,20.0,22.0,18.0,51.0
18-24,1-100,Rarely,1.8333333333333333,1.8333333333333333,7.0,24.333333333333332,17.0,14.666666666666666,23.5,15.0,33.333333333333336
18-24,1-100,Weekly,3.0,3.2,7.8,22.2,17.2,15.75,20.8,18.2,34.4
18-24,101-500,Daily,3.3333333333333335,2.0,9.666666666666666,22.666666666666668,19.333333333333332,22.666666666666668,26.333333333333332,17.0,39.0
18-24,101-500,Rarely,2.8,2.0,8.6,21.0,17.6,14.8,18.8,14.8,42.6
18-24,101-500,Unknown,2.0,2.0,6.5,19.0,19.5,21.0,25.5,14.0,38.5
18-24,101-500,Weekly,2.2857142857142856,2.0,7.857142857142857,18.714285714285715,14.0,12.714285714285714,23.428571428571427,16.714285714285715,43.714285714285715
18-24,1k-5k,Daily,2.875,2.625,9.3125,23.25,16.75,19.1875,22.466666666666665,16.333333333333332,39.9375
18-24,1k-5k,Rarely,2.590909090909091,2.590909090909091,8.409090909090908,21.38095238095238,16.045454545454547,15.863636363636363,23.227272727272727,15.454545454545455,40.04545454545455
18-24,1k-5k,Unknown,2.3333333333333335,2.3333333333333335,8.333333333333334,21.166666666666668,18.0,14.0,22.666666666666668,16.0,36.0
18-24,1k-5k,Weekly,3.3333333333333335,2.6041666666666665,9.145833333333334,20.5625,17.041666666666668,16.869565217391305,22.625,15.833333333333334,41.604166666666664
18-24,501-1k,Daily,2.625,2.4375,8.9375,22.125,17.875,17.125,22.0625,16.4375,40.75
18-24,501-1k,Rarely,3.0,2.3636363636363638,7.454545454545454,20.727272727272727,18.363636363636363,14.636363636363637,21.636363636363637,16.727272727272727,41.09090909090909
18-24,501-1k,Unknown,3.8333333333333335,2.8333333333333335,11.0,21.166666666666668,12.833333333333334,17.5,21.0,16.333333333333332,41.333333333333336
18-24,501-1k,Weekly,2.7714285714285714,2.4,8.228571428571428,19.542857142857144,16.0,15.8,21.34285714285714,15.371428571428572,41.34285714285714
18-24,>5k,Daily,3.5454545454545454,2.909090909090909,10.636363636363637,19.545454545454547,14.727272727272727,15.818181818181818,23.727272727272727,16.727272727272727,42.09090909090909
18-24,>5k,Rarely,3.0,3.142857142857143,11.714285714285714,19.857142857142858,14.857142857142858,17.0,22.571428571428573,18.285714285714285,44.142857142857146
18-24,>5k,Weekly,3.2777777777777777,2.7777777777777777,9.166666666666666,20.833333333333332,17.5625,16.555555555555557,23.944444444444443,16.166666666666668,40.22222222222222
18-24,Unknown,Daily,3.2,2.8,10.2,22.2,20.2,16.4,23.0,17.8,38.0
18-24,Unknown,Rarely,2.5,2.5,9.25,22.75,18.25,15.25,22.5,16.5,43.25
18-24,Unknown,Unknown,3.8,3.0,12.0,25.2,17.0,16.6,23.8,18.2,38.2
18-24,Unknown,Weekly,3.2857142857142856,2.761904761904762,9.857142857142858,21.285714285714285,16.523809523809526,17.952380952380953,24.095238095238095,15.35,40.85
25-34,101-500,Weekly,1.0,2.0,3.0,24.0,10.0,17.0,27.0,20.0,32.0
35-44,101-500,Rarely,2.0,4.0,4.0,19.0,22.0,13.0,26.0,,30.0
35-44,501-1k,Rarely,3.0,3.0,10.0,24.0,19.0,19.0,26.0,20.0,36.0
45+,1-100,Rarely,1.0,2.0,3.0,26.0,21.0,9.0,16.0,8.0,21.0
Unknown,1-100,Rarely,1.8,2.6,6.2,19.8,18.0,14.0,21.2,12.8,32.4
Unknown,1-100,Weekly,2.0,2.6666666666666665,6.333333333333333,21.333333333333332,15.666666666666666,13.333333333333334,19.333333333333332,14.0,31.666666666666668
Unknown,101-500,Rarely,2.0,2.6666666666666665,5.333333333333333,20.333333333333332,15.333333333333334,18.666666666666668,20.0,16.333333333333332,41.666666666666664
Unknown,101-500,Unknown,2.0,2.0,7.0,20.0,18.0,17.0,23.0,13.0,42.0
Unknown,101-500,Weekly,3.0,2.0,7.0,24.5,17.5,17.0,17.0,12.5,28.5
Unknown,1k-5k,Daily,2.4,2.4,9.8,22.2,16.2,16.6,20.8,16.2,41.2
Unknown,1k-5k,Rarely,3.0,4.0,10.0,27.5,18.0,16.5,27.5,15.0,39.5
Unknown,1k-5k,Unknown,3.0,2.0,7.0,24.0,16.0,17.0,27.0,20.0,41.0
Unknown,1k-5k,Weekly,2.75,2.4166666666666665,9.166666666666666,19.0,16.333333333333332,15.583333333333334,21.666666666666668,15.916666666666666,41.916666666666664
Unknown,501-1k,Daily,2.0,2.0,6.5,21.0,18.0,14.5,23.5,14.5,32.0
Unknown,501-1k,Rarely,2.8333333333333335,2.3333333333333335,7.833333333333333,20.166666666666668,16.833333333333332,17.666666666666668,24.833333333333332,18.333333333333332,39.666666666666664
Unknown,501-1k,Unknown,3.3333333333333335,2.3333333333333335,8.333333333333334,25.333333333333332,11.666666666666666,18.666666666666668,27.666666666666668,18.666666666666668,42.333333333333336
Unknown,501-1k,Weekly,3.272727272727273,2.5454545454545454,9.818181818181818,19.363636363636363,15.454545454545455,17.727272727272727,22.454545454545453,16.454545454545453,40.90909090909091
Unknown,>5k,Daily,3.0,2.8333333333333335,9.833333333333334,21.0,19.0,17.833333333333332,26.333333333333332,15.5,38.5
Unknown,>5k,Rarely,2.6666666666666665,3.3333333333333335,9.333333333333334,14.0,19.0,14.666666666666666,23.333333333333332,14.0,35.0
Unknown,>5k,Weekly,3.375,3.25,10.125,20.375,17.75,18.25,24.875,15.5,43.0
Unknown,Unknown,Rarely,3.0,2.6666666666666665,9.333333333333334,23.333333333333332,18.666666666666668,17.0,21.666666666666668,17.333333333333332,41.666666666666664
Unknown,Unknown,Unknown,4.0,3.0,10.5,27.0,15.0,17.0,27.5,16.5,38.0
Unknown,Unknown,Weekly,3.6666666666666665,3.0,10.333333333333334,21.333333333333332,16.0,16.333333333333332,22.0,16.333333333333332,39.0
