date,perfume,oud perfume,long lasting perfume,best perfume 2024,attars,arabian oud,lattafa perfume,oriental perfume,unisex perfume,natural perfume,organic perfume,clean beauty,non toxic beauty,natural cosmetics,paraben free perfume,vegan perfume,plant based perfume,essential oil perfume,perfume UAE,perfume Saudi Arabia,perfume Qatar,perfume Kuwait,perfume Oman,perfume Bahrain,oud UAE,luxury perfume Dubai,arabian oud Riyadh,perfume TikTok,viral perfume,perfume influencer,perfume review,TikTok perfume trend
2018-01-01,25,0,3,0,1,6,0,6,9,22,7,60,4,91,0,14,0,32,32,10,9,11,20,15,25,0,0,0,0,0,50,0
2018-02-01,26,0,4,0,1,6,0,8,8,24,7,62,3,98,0,14,0,32,29,9,12,9,18,16,20,0,0,0,0,0,54,0
2018-03-01,24,0,4,0,1,6,0,7,8,21,6,76,5,100,0,14,0,30,29,8,11,11,21,17,26,0,0,0,0,0,49,0
2018-04-01,26,0,4,0,1,6,0,7,8,21,6,76,6,90,0,13,0,30,29,11,12,10,19,19,26,0,0,0,0,0,55,0
2018-05-01,27,0,4,0,1,6,0,7,9,23,6,65,4,79,0,12,0,28,28,11,12,10,20,19,22,0,0,0,0,0,53,0
2018-06-01,26,0,4,0,1,8,0,8,8,20,5,67,3,79,0,13,0,26,33,10,13,10,25,18,23,0,5,0,0,0,50,0
2018-07-01,26,0,4,0,1,6,0,7,9,23,7,67,4,79,0,13,0,31,34,10,14,10,20,17,21,0,0,0,1,0,52,0
2018-08-01,26,0,5,0,1,7,0,8,9,24,6,66,4,76,0,12,0,28,31,10,12,10,15,18,19,0,0,0,0,0,56,0
2018-09-01,27,0,4,0,1,8,0,7,9,24,6,61,3,80,0,16,0,29,32,9,12,11,23,19,23,0,0,2,0,0,53,0
2018-10-01,28,0,4,0,1,6,0,8,9,23,6,63,4,80,0,16,0,30,29,8,12,10,23,19,25,0,0,3,1,0,51,0
2018-11-01,38,0,5,0,1,8,0,9,11,27,8,64,5,94,1,22,0,34,33,8,13,11,30,23,29,0,0,1,0,0,70,0
2018-12-01,47,0,5,0,1,9,0,11,15,31,8,74,6,83,0,29,0,38,36,11,17,12,26,27,26,0,0,1,0,0,96,0
2019-01-01,27,0,4,0,1,8,0,9,9,25,6,79,6,93,0,15,0,31,33,10,12,12,22,19,30,0,0,1,0,0,51,0
2019-02-01,28,0,5,0,1,8,0,7,10,23,6,73,8,98,0,14,0,30,32,11,11,10,19,19,20,0,0,0,1,0,49,0
2019-03-01,26,0,4,0,1,8,0,8,8,23,6,71,7,91,1,14,0,30,32,11,12,10,24,19,20,0,0,0,0,0,47,0
2019-04-01,26,0,4,0,1,9,0,8,9,27,7,73,6,86,0,12,0,30,31,9,13,12,17,30,26,0,0,0,1,0,45,0
2019-05-01,30,0,5,0,1,9,0,9,9,27,6,70,6,80,0,12,0,31,35,11,16,12,24,17,32,0,0,0,0,0,48,0
2019-06-01,29,0,5,0,1,9,0,8,10,27,6,70,4,89,0,15,0,27,36,11,17,11,25,21,29,0,0,1,0,0,46,0
2019-07-01,28,0,6,0,1,8,0,8,10,23,6,70,6,78,0,15,0,31,38,11,16,12,23,27,26,0,0,3,0,0,49,0
2019-08-01,30,0,6,0,1,11,0,10,11,25,5,73,5,85,0,16,0,30,37,13,14,13,25,25,32,4,0,1,0,0,52,0
2019-09-01,30,0,6,0,1,11,1,8,11,26,6,70,5,87,0,16,0,30,37,12,14,13,24,23,25,0,0,1,0,0,54,0
2019-10-01,32,0,5,0,1,10,1,9,11,26,5,71,5,86,0,16,0,29,36,11,17,13,29,30,27,0,0,1,0,0,50,0
2019-11-01,41,0,6,0,1,11,1,11,14,29,6,90,6,100,0,28,0,34,41,13,20,14,35,22,30,0,0,1,0,0,69,0
2019-12-01,54,0,6,0,1,12,1,12,20,31,8,81,6,89,0,34,0,35,50,14,22,15,37,28,32,0,0,1,1,0,89,0
2020-01-01,30,0,5,0,1,10,1,9,12,24,7,87,6,90,0,16,0,33,42,13,20,13,31,22,32,0,0,1,0,0,50,0
2020-02-01,31,0,6,0,1,10,1,9,12,26,7,88,6,93,1,17,0,30,50,12,18,13,33,23,37,0,0,1,0,0,52,0
2020-03-01,24,0,4,0,1,7,0,7,7,20,5,84,4,74,0,12,0,24,35,7,13,8,18,20,27,0,0,2,0,0,34,0
2020-04-01,20,0,3,0,1,6,0,7,7,20,5,97,5,91,0,11,0,27,25,4,9,6,12,14,16,0,0,2,0,0,30,0
2020-05-01,27,0,4,0,1,10,1,8,11,24,7,95,4,98,0,17,0,31,32,7,12,6,18,21,27,0,0,2,0,0,44,0
2020-06-01,31,0,4,0,1,8,1,10,11,25,6,86,6,89,0,15,1,32,38,8,15,11,21,22,27,0,0,2,0,0,47,0
2020-07-01,31,0,5,0,1,9,1,10,12,27,6,84,6,89,0,16,0,35,48,7,18,12,25,27,30,0,0,2,0,0,52,0
2020-08-01,31,0,5,0,1,10,1,10,12,25,6,81,5,91,0,18,0,33,45,10,17,13,25,24,31,0,0,2,0,0,53,0
2020-09-01,32,0,5,0,1,12,1,12,14,27,6,79,4,79,0,15,0,31,50,11,18,13,29,27,32,0,4,1,0,0,52,0
2020-10-01,33,0,6,0,1,10,1,10,13,25,7,84,4,79,0,17,0,29,52,12,18,12,28,28,33,0,0,2,0,0,52,0
2020-11-01,44,0,6,0,1,13,1,12,16,29,8,71,4,83,0,25,0,32,63,13,23,14,32,33,37,5,0,2,0,0,66,0
2020-12-01,56,0,7,0,1,14,1,16,21,30,7,80,3,71,0,30,0,34,59,13,25,15,42,29,33,0,0,3,0,0,78,0
2021-01-01,32,0,5,0,1,11,1,10,15,24,6,85,3,80,0,16,0,29,53,11,20,12,36,31,39,0,0,2,0,0,51,0
2021-02-01,33,0,5,0,1,10,1,11,15,22,8,80,4,74,0,18,0,28,58,11,25,14,35,28,39,0,0,3,0,0,49,0
2021-03-01,31,0,6,0,1,10,1,11,13,26,6,79,5,76,0,15,0,26,55,11,25,12,41,27,35,0,0,2,0,0,46,0
2021-04-01,33,0,6,0,1,12,1,10,14,25,8,83,4,80,0,19,0,27,51,11,21,11,31,26,40,4,0,2,0,0,45,0
2021-05-01,37,0,5,0,1,14,1,11,15,26,7,73,4,74,0,20,0,28,56,11,26,12,42,22,38,0,0,3,0,0,48,0
2021-06-01,36,0,6,0,1,10,2,11,17,25,9,73,5,68,0,19,0,28,54,10,29,12,29,30,31,0,0,3,0,0,43,0
2021-07-01,35,0,7,0,1,13,2,10,15,26,9,70,4,69,0,17,0,26,54,12,29,12,34,34,36,0,0,3,0,0,45,0
2021-08-01,38,0,8,0,1,14,2,12,16,27,9,73,5,67,0,21,0,28,52,10,28,15,28,29,37,0,0,3,0,0,49,0
2021-09-01,37,0,7,0,1,16,2,12,16,28,9,68,4,67,0,19,0,26,55,13,30,14,31,35,37,0,0,3,0,0,47,0
2021-10-01,38,0,7,0,1,13,2,12,17,26,9,73,5,63,0,21,1,28,58,15,33,17,39,38,45,0,0,3,1,0,46,0
2021-11-01,52,0,8,0,1,16,2,16,21,30,9,81,4,70,0,29,0,27,65,12,36,15,43,38,45,0,0,3,0,0,64,0
