,mean_demand,median_demand,max_demand,volatility,growth_rate,peak_month
perfume,0.5557379495597673,0.5125000000000001,1.0,0.7044679279213952,0.27506702412868633,12.0
oud perfume,0.000746157289956723,0.0,0.0,0.0029103448849377017,0.024128686327077747,12.0
long lasting perfume,0.10670049246381137,0.08750000000000001,0.18181818181818182,0.17635946808157746,0.6514745308310992,12.0
best perfume 2024,0.014773914341143115,0.0,0.19191919191919193,0.13754425909679704,0.024128686327077747,12.0
attars,0.012236979555290257,0.0125,0.010101010101010102,0.0,0.1809651474530831,1.0
arabian oud,0.1898224145649903,0.17500000000000002,0.36363636363636365,0.3183441464404307,0.7560321715817695,12.0
lattafa perfume,0.17728697209371735,0.025,1.0,1.0,0.024128686327077747,12.0
oriental perfume,0.1516191613192061,0.15000000000000002,0.19191919191919193,0.13935853689975503,0.2855227882037534,12.0
unisex perfume,0.25996119982092225,0.21250000000000002,0.6262626262626264,0.497221834751797,0.5643431635388739,12.0
natural perfume,0.38859871660946127,0.36250000000000004,0.5757575757575758,0.323470747628443,0.1809651474530831,12.0
organic perfume,0.11102820474556037,0.1125,0.20202020202020202,0.11069892620235355,0.09134431252393717,12.0
clean beauty,1.0,1.0,1.0,0.35331303232503203,0.10254691689008043,4.0
non toxic beauty,0.07610804357558573,0.07500000000000001,0.1414141414141414,0.0899396597750296,0.4162198391420911,1.0
natural cosmetics,0.9823906879570213,0.9375,1.0,0.402939757201214,0.0,2.0
paraben free perfume,0.008058498731532608,0.0,0.2828282828282828,0.1298551451355948,0.024128686327077747,10.0
vegan perfume,0.2275779734368005,0.21250000000000002,0.33333333333333337,0.20496899795820867,0.04653389505936423,12.0
plant based perfume,0.0005969258319653784,0.0,0.010101010101010102,0.003768519710370632,0.024128686327077747,6.0
essential oil perfume,0.38606178182360845,0.375,0.47474747474747475,0.14786593501128312,0.06333780160857909,12.0
perfume UAE,0.7003432323533801,0.7250000000000001,0.9595959595959597,0.7759229835843612,0.28879021447721176,12.0
perfume Saudi Arabia,0.22145948365915538,0.1625,0.393939393939394,0.3870365313731908,0.4632707774798927,12.0
perfume Qatar,0.40978958364423224,0.35000000000000003,1.0,0.8433931805017804,1.0,12.0
perfume Kuwait,0.2156394567974929,0.1875,0.30303030303030304,0.2766690664987132,0.26651230806726783,12.0
perfume Oman,0.5305178331592301,0.4625,0.9090909090909092,0.8515841215457747,0.47895442359249324,12.0
perfume Bahrain,0.455155946873601,0.41250000000000003,0.6767676767676769,0.6286303926410294,0.5260053619302949,12.0
oud UAE,0.5405163408446502,0.48750000000000004,1.0,0.7377287954707592,0.3503485254691689,12.0
luxury perfume Dubai,0.029249365766303534,0.0,0.09090909090909093,0.12377586656721984,0.024128686327077747,11.0
arabian oud Riyadh,0.007163109983584539,0.0,0.060606060606060615,0.06027257916719908,0.024128686327077747,9.0
perfume TikTok,0.046560214893299506,0.037500000000000006,0.11111111111111112,0.12268921619463591,0.024128686327077747,12.0
viral perfume,0.009849276227428741,0.0125,0.04040404040404041,0.04037275043048534,0.024128686327077747,12.0
perfume influencer,0.0,0.0,0.0,0.001262012383475078,0.024128686327077747,1.0
perfume review,0.7612296672138488,0.7375,1.0,0.5791080795249113,0.07431635388739946,12.0
TikTok perfume trend,0.041038650947619756,0.0,1.0,0.7633830637023145,0.024128686327077747,7.0
